PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofFloors,PropertyGFABuilding(s),SiteEnergyUseWN(kBtu),TotalGHGEmissions,pct_electricity,pct_steam
Other,47.70281,-122.32532,2008,6,84739,9238992.0,162.41,0.7571438529224833,0.0
Other,47.6239,-122.35756,2002,4,110785,10864032.0,92.91,0.9333141691777049,0.0
Warehouse,47.65097,-122.34227,1991,3,67236,571637.5,9.63,0.7406459513240471,0.0
Healthcare,47.59626,-122.3218,1999,5,90185,10281401.0,193.94,0.7225489989156147,0.0
Education,47.66568,-122.31368,1928,2,55653,1597907.25,72.88,0.003841274266701024,0.0
Office,47.71895,-122.29475,1972,5,50759,3321734.0,49.09,0.770240181784574,0.0
Worship Facility,47.66182,-122.31113,1952,2,56772,2762805.5,84.57,0.35294305009889404,0.0
Worship Facility,47.6626,-122.31164,1952,3,103000,5391782.0,149.93,0.43370355107087044,0.0
Other,47.61103,-122.33238,1914,7,128766,6057410.0,57.21,0.9463863268294536,0.0
Other,47.63965,-122.3783,1973,1,76086,3576720.0,101.41,0.43709488022545795,0.0
Other,47.60729,-122.34211,1980,2,69400,15230290.0,301.76,0.6916723187805354,0.0
Other,47.6041,-122.33958,1900,1,62900,10883874.0,377.27,0.3480316843065254,0.0
Office,47.60271,-122.33557,1914,4,56500,1500938.5,44.22,0.5913180320179674,0.3283024670897575
Warehouse,47.59486,-122.32455,2008,4,203504,3944732.0,26.39,0.9595790030856342,0.0
Office,47.61757,-122.35122,1968,3,74003,9892566.0,68.24,0.9895022181302606,0.0
Office,47.61703,-122.35012,1981,4,59158,5168686.5,68.19,0.8292439481481417,0.0
Office,47.61356,-122.33665,1926,10,55652,3826622.5,170.51,0.3548416390694405,0.5452392416550104
Office,47.61375,-122.33566,1930,17,174790,8081443.0,100.26,0.8335239139841734,0.0
Office,47.61256,-122.33808,1916,5,73399,3992167.75,26.19,0.9410939708132254,0.0
Office,47.61641,-122.34112,1968,12,206000,9075988.0,222.19,0.6905893881745987,0.2547928390826431
Office,47.60266,-122.33332,1900,7,89550,4135330.5,51.67,0.8596343145971042,0.0842464254066271
Office,47.60219,-122.33347,1900,6,89355,4188308.75,31.97,0.9828790678337647,0.0
Office,47.60542,-122.33588,1950,6,89699,1916413.75,46.56,0.7070607795419961,0.2508769309341472
Office,47.60581,-122.33664,1968,8,94948,3743228.5,26.1,0.9999998664254667,0.0
Office,47.60671,-122.33456,1972,14,162993,9843217.0,218.53,0.7605302209633293,0.2189302034080931
Office,47.60471,-122.33261,1907,8,201480,9510490.0,175.95,0.7677638060709806,0.17033474353056466
Office,47.60377,-122.32971,2003,8,168870,13972700.0,298.61,0.6254313768992392,0.0
Office,47.60249,-122.32854,2006,13,319539,13862720.0,216.24,0.811455904757508,0.0
Office,47.60193,-122.32812,1909,7,106099,2970604.25,70.17,0.5523081709722862,0.0
Retail,47.66024,-122.31278,1978,2,89200,6707359.5,89.47,0.8198643594398064,0.0
Office,47.661,-122.31626,1961,5,99005,5008123.5,119.03,0.5717135370164095,0.0
Office,47.66065,-122.31689,2002,6,90803,4426136.0,30.86,1.0,0.0
Office,47.65999,-122.31741,2002,5,137929,7046345.5,49.12,0.9999999290412314,0.0
Other,47.61591,-122.33238,1964,5,93660,940359.1875,6.09,0.928604741260105,0.0
Other,47.6177,-122.3306,2000,11,185760,9944328.0,72.42,0.9725968411339609,0.0
Other,47.6177,-122.3545,1980,4,70647,8381544.5,91.13,0.8929928129594731,0.0
Office,47.61598,-122.34369,2002,6,203880,14913424.0,103.97,0.9999998658926347,0.0
Office,47.61734,-122.34434,1947,3,144118,5569686.0,46.03,0.9281745865027221,0.0
Retail,47.7019,-122.36374,1956,1,60880,14736775.0,384.27,0.5513565892130402,0.0
Office,47.60227,-122.33202,1900,5,50176,2933288.75,24.91,0.9670558345133938,0.0
Warehouse,47.54066,-122.33023,1977,1,128800,2098949.75,78.92,0.17716002967674666,0.0
Retail,47.57936,-122.29744,1980,2,291940,12080064.0,162.45,0.8223351300125562,0.0
Other,47.52871,-122.29443,1970,1,88400,4811200.0,116.03,0.5259930994346524,0.0
Warehouse,47.72912,-122.34677,1960,1,52311,1109137.125,48.65,0.015115353748527712,0.0
Other,47.62323,-122.33028,2009,5,71421,3085814.0,21.51,0.9999996759363979,0.0
Office,47.62333,-122.3296,2001,5,106465,5803409.0,40.46,1.0,0.0
Warehouse,47.65825,-122.3683,1973,1,52500,4243867.0,70.47,0.7221661282033579,0.0
Warehouse,47.66587,-122.38476,1959,2,57300,5095134.5,156.67,0.36385967828719734,0.0
Office,47.61003,-122.33452,1958,10,135918,6771618.5,193.72,0.63535076584719,0.3132490408312282
Retail,47.61159,-122.33601,1914,4,79957,5171529.0,36.61,1.015585526060088,0.0
Office,47.61005,-122.3361,1926,10,132326,6146691.5,65.2,0.9270387166819744,0.05340223985537585
Office,47.61033,-122.3357,1984,6,96630,7335905.5,51.14,0.9999999318420882,0.0
Office,47.60991,-122.33687,1910,10,130513,11792293.0,318.08,0.5806331304691972,0.053511984480032845
Office,47.60953,-122.33647,1920,8,60660,2586116.0,18.03,1.0,0.0
Office,47.60902,-122.33674,1929,14,137350,6825027.0,202.99,0.6017894141664202,0.3309664928798084
Office,47.60995,-122.33904,1906,4,63540,3564626.75,74.83,0.6812174654751721,0.0
Office,47.60987,-122.33824,1927,10,130893,7163323.5,48.54,0.9719052894930684,0.0
Other,47.60821,-122.33899,1910,5,79920,2977095.25,20.98,1.0108725946877246,0.0
Other,47.60881,-122.34119,1908,4,137400,14879755.0,316.2,0.695221729121212,0.0
Other,47.61164,-122.33446,1996,6,61423,9671619.0,185.03,0.736445366592708,0.0
Other,47.61185,-122.33421,1996,4,100375,7378420.5,147.75,0.7006786886163509,0.0
Office,47.61029,-122.34089,1986,12,100717,4757299.5,33.17,0.9999998948983557,0.0
Office,47.61116,-122.34748,1999,4,70000,4549892.0,31.72,0.9999997802145634,0.0
Office,47.6117,-122.34778,1998,11,189629,13329024.0,92.92,0.9999998499515044,0.0
Other,47.61252,-122.34351,1985,12,155500,14436982.0,100.65,0.9999999307334455,0.0
Office,47.61304,-122.34059,1925,4,52800,2500323.75,44.48,0.7326779182095918,0.0
Other,47.61048,-122.32837,1988,9,46710,4439795.5,130.69,0.6131174284941727,0.3259867768684391
Office,47.61048,-122.32837,1945,3,162000,14009703.0,201.15,0.8496224366783507,0.03402940180102319
Hospitality,47.62036,-122.34588,1979,5,79608,9707963.0,243.66,0.5794619324362896,0.0
Warehouse,47.56064,-122.32522,2001,1,123061,1987934.625,13.86,0.9999996856033432,0.0
Warehouse,47.54868,-122.3255,1963,1,59090,3153949.5,117.11,0.2011401894672061,0.0
Warehouse,47.5471,-122.32406,1963,1,106000,763364.5,5.32,0.9999993450049092,0.0
Office,47.63349,-122.32634,1962,3,120200,18471858.0,236.9,0.8629899601870045,0.0
Warehouse,47.53764,-122.3232,1960,1,119661,775864.1875,5.44,0.9988410503867985,0.0
Office,47.62958,-122.32826,2001,7,94472,4342597.0,30.27,1.0,0.0
Office,47.62566,-122.34287,1984,6,61800,3155171.75,21.36,0.9709468272210539,0.0
Office,47.62929,-122.34194,1996,5,98055,5661689.5,39.47,0.9999999116871386,0.0
Office,47.64776,-122.33924,2001,3,56041,11672252.0,374.92,0.4201625359013839,0.0
Office,47.70105,-122.32659,1974,5,74880,5531460.0,35.8,0.9282552888387514,0.0
