PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),SiteEnergyUse(kBtu),TotalGHGEmissions,pct_electricity,pct_steam,has_parking
Other,47.52871,-122.29443,1970,1,0,88400,4383100.5,116.03,0.5773670943661913,0.0,False
Warehouse,47.72912,-122.34677,1960,1,0,52311,930611.875,48.65,0.018015029090403558,0.0,False
Other,47.62323,-122.33028,2009,5,69710,71421,3085814.0,21.51,0.9999996759363979,0.0,True
Office,47.62333,-122.3296,2001,5,70067,106465,5803409.0,40.46,1.0,0.0,True
Warehouse,47.65825,-122.3683,1973,1,0,52500,3989399.0,70.47,0.7682302522259619,0.0,False
Warehouse,47.66587,-122.38476,1959,2,0,57300,4560492.0,156.67,0.40651622675799015,0.0,False
Office,47.61003,-122.33452,1958,10,0,135918,6423556.5,193.72,0.6697774044643338,0.33022251769716665,False
Retail,47.61159,-122.33601,1914,4,0,79957,5252131.0,36.61,0.9999998096010934,0.0,False
Office,47.61005,-122.3361,1926,10,0,132326,6029020.0,65.2,0.9451322105416801,0.05444451897655008,False
Office,47.61033,-122.3357,1984,6,13200,96630,7335905.5,51.14,0.9999999318420882,0.0,True
Office,47.60991,-122.33687,1910,10,0,130513,11651200.0,318.08,0.5876644465806097,0.054160000686624556,False
Office,47.60953,-122.33647,1920,8,0,60660,2586116.0,18.03,1.0,0.0,False
Office,47.60902,-122.33674,1929,14,0,137350,6366084.5,202.99,0.6451734971472654,0.35482646358212805,False
Office,47.60923,-122.33625,1929,15,0,151039,5446624.0,238.09,0.4767257662728325,0.5232741878271752,False
Office,47.60995,-122.33904,1906,4,0,63540,3518459.5,74.83,0.6901560185643746,0.0,False
Office,47.60987,-122.33824,1927,10,0,130893,6962073.0,48.54,0.9999998563646202,0.0,False
Other,47.60821,-122.33899,1910,5,0,79920,3009463.75,20.98,1.000000083071278,0.0,False
Other,47.60881,-122.34119,1908,4,0,137400,14940504.0,316.2,0.692394915191616,0.0,False
Other,47.61164,-122.33446,1996,6,86429,61423,9671619.0,185.03,0.736445366592708,0.0,True
Other,47.61185,-122.33421,1996,4,166960,100375,7273155.5,147.75,0.710819671049244,0.0,True
Office,47.61029,-122.34089,1986,12,15140,100717,4757299.5,33.17,0.9999998948983557,0.0,True
Office,47.61116,-122.34748,1999,4,17500,70000,4549892.0,31.72,0.9999997802145634,0.0,True
